file,style,beat_time,beat_id
Albums-Ballroom_Classics4-19.wav,Quickstep,0.3,1
Albums-Ballroom_Classics4-19.wav,Quickstep,0.59,2
Albums-Ballroom_Classics4-19.wav,Quickstep,0.88,3
Albums-Ballroom_Classics4-19.wav,Quickstep,1.18,4
Albums-Ballroom_Classics4-19.wav,Quickstep,1.48,1
Albums-Ballroom_Classics4-19.wav,Quickstep,1.76,2
Albums-Ballroom_Classics4-19.wav,Quickstep,2.06,3
Albums-Ballroom_Classics4-19.wav,Quickstep,2.36,4
Albums-Ballroom_Classics4-19.wav,Quickstep,2.66,1
Albums-Ballroom_Classics4-19.wav,Quickstep,2.96,2
Albums-Ballroom_Classics4-19.wav,Quickstep,3.26,3
Albums-Ballroom_Classics4-19.wav,Quickstep,3.54,4
Albums-Ballroom_Classics4-19.wav,Quickstep,3.84,1
Albums-Ballroom_Classics4-19.wav,Quickstep,4.12,2
Albums-Ballroom_Classics4-19.wav,Quickstep,4.42,3
Albums-Ballroom_Classics4-19.wav,Quickstep,4.72,4
Albums-Ballroom_Classics4-19.wav,Quickstep,5.02,1
Albums-Ballroom_Classics4-19.wav,Quickstep,5.31,2
Albums-Ballroom_Classics4-19.wav,Quickstep,5.61,3
Albums-Ballroom_Classics4-19.wav,Quickstep,5.9,4
Albums-Ballroom_Classics4-19.wav,Quickstep,6.2,1
Albums-Ballroom_Classics4-19.wav,Quickstep,6.5,2
Albums-Ballroom_Classics4-19.wav,Quickstep,6.79,3
Albums-Ballroom_Classics4-19.wav,Quickstep,7.09,4
Albums-Ballroom_Classics4-19.wav,Quickstep,7.38,1
Albums-Ballroom_Classics4-19.wav,Quickstep,7.68,2
Albums-Ballroom_Classics4-19.wav,Quickstep,7.97,3
Albums-Ballroom_Classics4-19.wav,Quickstep,8.26,4
Albums-Ballroom_Classics4-19.wav,Quickstep,8.55,1
Albums-Ballroom_Classics4-19.wav,Quickstep,8.84,2
Albums-Ballroom_Classics4-19.wav,Quickstep,9.14,3
Albums-Ballroom_Classics4-19.wav,Quickstep,9.44,4
Albums-Ballroom_Classics4-19.wav,Quickstep,9.72,1
Albums-Ballroom_Classics4-19.wav,Quickstep,10.02,2
Albums-Ballroom_Classics4-19.wav,Quickstep,10.32,3
Albums-Ballroom_Classics4-19.wav,Quickstep,10.61,4
Albums-Ballroom_Classics4-19.wav,Quickstep,10.91,1
Albums-Ballroom_Classics4-19.wav,Quickstep,11.19,2
Albums-Ballroom_Classics4-19.wav,Quickstep,11.49,3
Albums-Ballroom_Classics4-19.wav,Quickstep,11.78,4
Albums-Ballroom_Classics4-19.wav,Quickstep,12.08,1
Albums-Ballroom_Classics4-19.wav,Quickstep,12.36,2
Albums-Ballroom_Classics4-19.wav,Quickstep,12.67,3
Albums-Ballroom_Classics4-19.wav,Quickstep,12.96,4
Albums-Ballroom_Classics4-19.wav,Quickstep,13.26,1
Albums-Ballroom_Classics4-19.wav,Quickstep,13.55,2
Albums-Ballroom_Classics4-19.wav,Quickstep,13.85,3
Albums-Ballroom_Classics4-19.wav,Quickstep,14.15,4
Albums-Ballroom_Classics4-19.wav,Quickstep,14.45,1
Albums-Ballroom_Classics4-19.wav,Quickstep,14.75,2
Albums-Ballroom_Classics4-19.wav,Quickstep,15.05,3
Albums-Ballroom_Classics4-19.wav,Quickstep,15.35,4
Albums-Ballroom_Classics4-19.wav,Quickstep,15.65,1
Albums-Ballroom_Classics4-19.wav,Quickstep,15.95,2
Albums-Ballroom_Classics4-19.wav,Quickstep,16.25,3
Albums-Ballroom_Classics4-19.wav,Quickstep,16.54,4
Albums-Ballroom_Classics4-19.wav,Quickstep,16.82,1
