file,style,beat_time,beat_id
Albums-Ballroom_Magic-02.wav,Waltz,0.04,1
Albums-Ballroom_Magic-02.wav,Waltz,0.74,2
Albums-Ballroom_Magic-02.wav,Waltz,1.43,3
Albums-Ballroom_Magic-02.wav,Waltz,2.12,1
Albums-Ballroom_Magic-02.wav,Waltz,2.81,2
Albums-Ballroom_Magic-02.wav,Waltz,3.5,3
Albums-Ballroom_Magic-02.wav,Waltz,4.19,1
Albums-Ballroom_Magic-02.wav,Waltz,4.88,2
Albums-Ballroom_Magic-02.wav,Waltz,5.57,3
Albums-Ballroom_Magic-02.wav,Waltz,6.27,1
Albums-Ballroom_Magic-02.wav,Waltz,6.96,2
Albums-Ballroom_Magic-02.wav,Waltz,7.65,3
Albums-Ballroom_Magic-02.wav,Waltz,8.34,1
Albums-Ballroom_Magic-02.wav,Waltz,9.03,2
Albums-Ballroom_Magic-02.wav,Waltz,9.73,3
Albums-Ballroom_Magic-02.wav,Waltz,10.42,1
Albums-Ballroom_Magic-02.wav,Waltz,11.11,2
Albums-Ballroom_Magic-02.wav,Waltz,11.8,3
Albums-Ballroom_Magic-02.wav,Waltz,12.49,1
Albums-Ballroom_Magic-02.wav,Waltz,13.17,2
Albums-Ballroom_Magic-02.wav,Waltz,13.87,3
Albums-Ballroom_Magic-02.wav,Waltz,14.56,1
Albums-Ballroom_Magic-02.wav,Waltz,15.26,2
Albums-Ballroom_Magic-02.wav,Waltz,15.96,3
Albums-Ballroom_Magic-02.wav,Waltz,16.61,1
Albums-Ballroom_Magic-02.wav,Waltz,17.33,2
Albums-Ballroom_Magic-02.wav,Waltz,18.02,3
Albums-Ballroom_Magic-02.wav,Waltz,18.69,1
Albums-Ballroom_Magic-02.wav,Waltz,19.38,2
Albums-Ballroom_Magic-02.wav,Waltz,20.1,3
Albums-Ballroom_Magic-02.wav,Waltz,20.76,1
Albums-Ballroom_Magic-02.wav,Waltz,21.48,2
Albums-Ballroom_Magic-02.wav,Waltz,22.16,3
Albums-Ballroom_Magic-02.wav,Waltz,22.83,1
Albums-Ballroom_Magic-02.wav,Waltz,23.55,2
Albums-Ballroom_Magic-02.wav,Waltz,24.17,3
Albums-Ballroom_Magic-02.wav,Waltz,24.9,1
Albums-Ballroom_Magic-02.wav,Waltz,25.59,2
Albums-Ballroom_Magic-02.wav,Waltz,26.29,3
Albums-Ballroom_Magic-02.wav,Waltz,26.97,1
Albums-Ballroom_Magic-02.wav,Waltz,27.59,2
Albums-Ballroom_Magic-02.wav,Waltz,28.3,3
Albums-Ballroom_Magic-02.wav,Waltz,29.05,1
Albums-Ballroom_Magic-02.wav,Waltz,29.77,2
