file,style,beat_time,beat_id
Albums-Chrisanne2-01.wav,Waltz,0.05,1
Albums-Chrisanne2-01.wav,Waltz,0.713,2
Albums-Chrisanne2-01.wav,Waltz,1.37,3
Albums-Chrisanne2-01.wav,Waltz,2.02,1
Albums-Chrisanne2-01.wav,Waltz,2.67,2
Albums-Chrisanne2-01.wav,Waltz,3.347,3
Albums-Chrisanne2-01.wav,Waltz,4.023,1
Albums-Chrisanne2-01.wav,Waltz,4.7,2
Albums-Chrisanne2-01.wav,Waltz,5.378,3
Albums-Chrisanne2-01.wav,Waltz,6.079,1
Albums-Chrisanne2-01.wav,Waltz,6.797,2
Albums-Chrisanne2-01.wav,Waltz,7.535,3
Albums-Chrisanne2-01.wav,Waltz,8.263,1
Albums-Chrisanne2-01.wav,Waltz,8.993,2
Albums-Chrisanne2-01.wav,Waltz,9.663,3
Albums-Chrisanne2-01.wav,Waltz,10.347,1
Albums-Chrisanne2-01.wav,Waltz,11.026,2
Albums-Chrisanne2-01.wav,Waltz,11.708,3
Albums-Chrisanne2-01.wav,Waltz,12.431,1
Albums-Chrisanne2-01.wav,Waltz,13.213,2
Albums-Chrisanne2-01.wav,Waltz,14.067,3
Albums-Chrisanne2-01.wav,Waltz,14.923,1
Albums-Chrisanne2-01.wav,Waltz,15.776,2
Albums-Chrisanne2-01.wav,Waltz,16.633,3
Albums-Chrisanne2-01.wav,Waltz,17.455,1
Albums-Chrisanne2-01.wav,Waltz,18.237,2
Albums-Chrisanne2-01.wav,Waltz,18.961,3
Albums-Chrisanne2-01.wav,Waltz,19.663,1
Albums-Chrisanne2-01.wav,Waltz,20.354,2
Albums-Chrisanne2-01.wav,Waltz,21.037,3
Albums-Chrisanne2-01.wav,Waltz,21.706,1
Albums-Chrisanne2-01.wav,Waltz,22.36,2
Albums-Chrisanne2-01.wav,Waltz,23.04,3
Albums-Chrisanne2-01.wav,Waltz,23.72,1
Albums-Chrisanne2-01.wav,Waltz,24.435,2
Albums-Chrisanne2-01.wav,Waltz,25.145,3
Albums-Chrisanne2-01.wav,Waltz,25.874,1
Albums-Chrisanne2-01.wav,Waltz,26.583,2
Albums-Chrisanne2-01.wav,Waltz,27.29,3
Albums-Chrisanne2-01.wav,Waltz,27.978,1
Albums-Chrisanne2-01.wav,Waltz,28.65,2
Albums-Chrisanne2-01.wav,Waltz,29.3,3
Albums-Chrisanne2-01.wav,Waltz,29.95,1
