file,style,beat_time,beat_id
Albums-Commitments-11.wav,Waltz,0.4,1
Albums-Commitments-11.wav,Waltz,1.11,2
Albums-Commitments-11.wav,Waltz,1.8,3
Albums-Commitments-11.wav,Waltz,2.47,1
Albums-Commitments-11.wav,Waltz,3.14,2
Albums-Commitments-11.wav,Waltz,3.83,3
Albums-Commitments-11.wav,Waltz,4.51,1
Albums-Commitments-11.wav,Waltz,5.18,2
Albums-Commitments-11.wav,Waltz,5.86,3
Albums-Commitments-11.wav,Waltz,6.53,1
Albums-Commitments-11.wav,Waltz,7.2,2
Albums-Commitments-11.wav,Waltz,7.88,3
Albums-Commitments-11.wav,Waltz,8.55,1
Albums-Commitments-11.wav,Waltz,9.24,2
Albums-Commitments-11.wav,Waltz,9.92,3
Albums-Commitments-11.wav,Waltz,10.58,1
Albums-Commitments-11.wav,Waltz,11.26,2
Albums-Commitments-11.wav,Waltz,11.95,3
Albums-Commitments-11.wav,Waltz,12.61,1
Albums-Commitments-11.wav,Waltz,13.28,2
Albums-Commitments-11.wav,Waltz,13.96,3
Albums-Commitments-11.wav,Waltz,14.64,1
Albums-Commitments-11.wav,Waltz,15.31,2
Albums-Commitments-11.wav,Waltz,16.0,3
Albums-Commitments-11.wav,Waltz,16.67,1
Albums-Commitments-11.wav,Waltz,17.35,2
Albums-Commitments-11.wav,Waltz,18.02,3
Albums-Commitments-11.wav,Waltz,18.68,1
Albums-Commitments-11.wav,Waltz,19.37,2
Albums-Commitments-11.wav,Waltz,20.05,3
Albums-Commitments-11.wav,Waltz,20.73,1
Albums-Commitments-11.wav,Waltz,21.38,2
Albums-Commitments-11.wav,Waltz,22.09,3
Albums-Commitments-11.wav,Waltz,22.75,1
Albums-Commitments-11.wav,Waltz,23.44,2
Albums-Commitments-11.wav,Waltz,24.09,3
Albums-Commitments-11.wav,Waltz,24.78,1
Albums-Commitments-11.wav,Waltz,25.44,2
Albums-Commitments-11.wav,Waltz,26.15,3
Albums-Commitments-11.wav,Waltz,26.81,1
Albums-Commitments-11.wav,Waltz,27.5,2
Albums-Commitments-11.wav,Waltz,28.17,3
Albums-Commitments-11.wav,Waltz,28.84,1
Albums-Commitments-11.wav,Waltz,29.48,2
