file,style,beat_time,beat_id
Albums-Fire-09.wav,Samba,0.84,1
Albums-Fire-09.wav,Samba,1.32,2
Albums-Fire-09.wav,Samba,1.802,3
Albums-Fire-09.wav,Samba,2.29,4
Albums-Fire-09.wav,Samba,2.778,1
Albums-Fire-09.wav,Samba,3.26,2
Albums-Fire-09.wav,Samba,3.74,3
Albums-Fire-09.wav,Samba,4.223,4
Albums-Fire-09.wav,Samba,4.717,1
Albums-Fire-09.wav,Samba,5.202,2
Albums-Fire-09.wav,Samba,5.687,3
Albums-Fire-09.wav,Samba,6.165,4
Albums-Fire-09.wav,Samba,6.657,1
Albums-Fire-09.wav,Samba,7.14,2
Albums-Fire-09.wav,Samba,7.62,3
Albums-Fire-09.wav,Samba,8.103,4
Albums-Fire-09.wav,Samba,8.597,1
Albums-Fire-09.wav,Samba,9.082,2
Albums-Fire-09.wav,Samba,9.567,3
Albums-Fire-09.wav,Samba,10.045,4
Albums-Fire-09.wav,Samba,10.537,1
Albums-Fire-09.wav,Samba,11.02,2
Albums-Fire-09.wav,Samba,11.502,3
Albums-Fire-09.wav,Samba,11.99,4
Albums-Fire-09.wav,Samba,12.478,1
Albums-Fire-09.wav,Samba,12.962,2
Albums-Fire-09.wav,Samba,13.448,3
Albums-Fire-09.wav,Samba,13.932,4
Albums-Fire-09.wav,Samba,14.417,1
Albums-Fire-09.wav,Samba,14.897,2
Albums-Fire-09.wav,Samba,15.393,3
Albums-Fire-09.wav,Samba,15.873,4
Albums-Fire-09.wav,Samba,16.358,1
Albums-Fire-09.wav,Samba,16.842,2
Albums-Fire-09.wav,Samba,17.328,3
Albums-Fire-09.wav,Samba,17.812,4
Albums-Fire-09.wav,Samba,18.298,1
Albums-Fire-09.wav,Samba,18.783,2
Albums-Fire-09.wav,Samba,19.275,3
Albums-Fire-09.wav,Samba,19.753,4
Albums-Fire-09.wav,Samba,20.238,1
Albums-Fire-09.wav,Samba,20.722,2
Albums-Fire-09.wav,Samba,21.208,3
Albums-Fire-09.wav,Samba,21.69,4
Albums-Fire-09.wav,Samba,22.165,1
Albums-Fire-09.wav,Samba,22.632,2
Albums-Fire-09.wav,Samba,23.133,3
Albums-Fire-09.wav,Samba,23.622,4
Albums-Fire-09.wav,Samba,24.11,1
Albums-Fire-09.wav,Samba,24.598,2
Albums-Fire-09.wav,Samba,25.08,3
Albums-Fire-09.wav,Samba,25.562,4
Albums-Fire-09.wav,Samba,26.05,1
Albums-Fire-09.wav,Samba,26.54,2
Albums-Fire-09.wav,Samba,27.027,3
Albums-Fire-09.wav,Samba,27.503,4
Albums-Fire-09.wav,Samba,27.99,1
Albums-Fire-09.wav,Samba,28.473,2
Albums-Fire-09.wav,Samba,28.94,3
Albums-Fire-09.wav,Samba,29.437,4
Albums-Fire-09.wav,Samba,29.927,1
