file,style,beat_time,beat_id
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,1.01,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,1.68,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,2.33,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,2.94,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,3.67,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,4.31,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,4.93,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,5.63,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,6.29,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,7.01,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,7.63,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,8.29,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,8.97,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,9.65,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,10.34,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,11.02,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,11.64,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,12.33,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,13.04,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,13.68,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,14.34,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,15.01,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,15.71,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,16.37,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,17.04,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,17.69,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,18.35,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,19.05,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,19.72,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,20.38,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,21.06,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,21.73,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,22.41,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,23.1,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,23.82,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,24.48,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,25.14,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,25.77,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,26.47,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,27.24,4
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,27.9,1
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,28.55,2
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,29.18,3
Albums-GloriaEstefan_MiTierra-08.wav,Rumba-International,29.82,4
