file,style,beat_time,beat_id
Albums-I_Like_It2-01.wav,ChaChaCha,0.351201814,4
Albums-I_Like_It2-01.wav,ChaChaCha,0.78,1
Albums-I_Like_It2-01.wav,ChaChaCha,1.21,2
Albums-I_Like_It2-01.wav,ChaChaCha,1.67,3
Albums-I_Like_It2-01.wav,ChaChaCha,2.09,4
Albums-I_Like_It2-01.wav,ChaChaCha,2.57,1
Albums-I_Like_It2-01.wav,ChaChaCha,2.98,2
Albums-I_Like_It2-01.wav,ChaChaCha,3.47,3
Albums-I_Like_It2-01.wav,ChaChaCha,3.88,4
Albums-I_Like_It2-01.wav,ChaChaCha,4.36,1
Albums-I_Like_It2-01.wav,ChaChaCha,4.76,2
Albums-I_Like_It2-01.wav,ChaChaCha,5.23,3
Albums-I_Like_It2-01.wav,ChaChaCha,5.66,4
Albums-I_Like_It2-01.wav,ChaChaCha,6.14,1
Albums-I_Like_It2-01.wav,ChaChaCha,6.55,2
Albums-I_Like_It2-01.wav,ChaChaCha,7.0,3
Albums-I_Like_It2-01.wav,ChaChaCha,7.45,4
Albums-I_Like_It2-01.wav,ChaChaCha,7.91,1
Albums-I_Like_It2-01.wav,ChaChaCha,8.35,2
Albums-I_Like_It2-01.wav,ChaChaCha,8.8,3
Albums-I_Like_It2-01.wav,ChaChaCha,9.24,4
Albums-I_Like_It2-01.wav,ChaChaCha,9.69,1
Albums-I_Like_It2-01.wav,ChaChaCha,10.13,2
Albums-I_Like_It2-01.wav,ChaChaCha,10.59,3
Albums-I_Like_It2-01.wav,ChaChaCha,11.04,4
Albums-I_Like_It2-01.wav,ChaChaCha,11.48,1
Albums-I_Like_It2-01.wav,ChaChaCha,11.93,2
Albums-I_Like_It2-01.wav,ChaChaCha,12.38,3
Albums-I_Like_It2-01.wav,ChaChaCha,12.81,4
Albums-I_Like_It2-01.wav,ChaChaCha,13.26,1
Albums-I_Like_It2-01.wav,ChaChaCha,13.7,2
Albums-I_Like_It2-01.wav,ChaChaCha,14.16,3
Albums-I_Like_It2-01.wav,ChaChaCha,14.61,4
Albums-I_Like_It2-01.wav,ChaChaCha,15.04,1
Albums-I_Like_It2-01.wav,ChaChaCha,15.5,2
Albums-I_Like_It2-01.wav,ChaChaCha,15.94,3
Albums-I_Like_It2-01.wav,ChaChaCha,16.39,4
Albums-I_Like_It2-01.wav,ChaChaCha,16.83,1
Albums-I_Like_It2-01.wav,ChaChaCha,17.28,2
Albums-I_Like_It2-01.wav,ChaChaCha,17.72,3
Albums-I_Like_It2-01.wav,ChaChaCha,18.17,4
Albums-I_Like_It2-01.wav,ChaChaCha,18.62,1
Albums-I_Like_It2-01.wav,ChaChaCha,19.06,2
Albums-I_Like_It2-01.wav,ChaChaCha,19.51,3
Albums-I_Like_It2-01.wav,ChaChaCha,19.96,4
Albums-I_Like_It2-01.wav,ChaChaCha,20.4,1
Albums-I_Like_It2-01.wav,ChaChaCha,20.85,2
Albums-I_Like_It2-01.wav,ChaChaCha,21.28,3
Albums-I_Like_It2-01.wav,ChaChaCha,21.73,4
Albums-I_Like_It2-01.wav,ChaChaCha,22.16,1
Albums-I_Like_It2-01.wav,ChaChaCha,22.61,2
Albums-I_Like_It2-01.wav,ChaChaCha,23.06,3
Albums-I_Like_It2-01.wav,ChaChaCha,23.5,4
Albums-I_Like_It2-01.wav,ChaChaCha,23.95,1
Albums-I_Like_It2-01.wav,ChaChaCha,24.39,2
Albums-I_Like_It2-01.wav,ChaChaCha,24.84,3
Albums-I_Like_It2-01.wav,ChaChaCha,25.28,4
Albums-I_Like_It2-01.wav,ChaChaCha,25.74,1
Albums-I_Like_It2-01.wav,ChaChaCha,26.18,2
Albums-I_Like_It2-01.wav,ChaChaCha,26.62,3
Albums-I_Like_It2-01.wav,ChaChaCha,27.07,4
Albums-I_Like_It2-01.wav,ChaChaCha,27.52,1
Albums-I_Like_It2-01.wav,ChaChaCha,27.96,2
Albums-I_Like_It2-01.wav,ChaChaCha,28.4,3
Albums-I_Like_It2-01.wav,ChaChaCha,28.84,4
Albums-I_Like_It2-01.wav,ChaChaCha,29.29,1
Albums-I_Like_It2-01.wav,ChaChaCha,29.74,2
Albums-I_Like_It2-01.wav,ChaChaCha,30.188843537,3
Albums-I_Like_It2-01.wav,ChaChaCha,30.637278911,4
Albums-I_Like_It2-01.wav,ChaChaCha,31.094421768,1
Albums-I_Like_It2-01.wav,ChaChaCha,31.529795918,2
Albums-I_Like_It2-01.wav,ChaChaCha,31.972426303,3
Albums-I_Like_It2-01.wav,ChaChaCha,32.417959183,4
Albums-I_Like_It2-01.wav,ChaChaCha,32.876553287,1
Albums-I_Like_It2-01.wav,ChaChaCha,33.316281179,2
