file,style,beat_time,beat_id
Albums-Latin_Jam-15.wav,Samba,0.17,1
Albums-Latin_Jam-15.wav,Samba,0.733,2
Albums-Latin_Jam-15.wav,Samba,1.302,3
Albums-Latin_Jam-15.wav,Samba,1.91,4
Albums-Latin_Jam-15.wav,Samba,2.491,1
Albums-Latin_Jam-15.wav,Samba,3.069,2
Albums-Latin_Jam-15.wav,Samba,3.654,3
Albums-Latin_Jam-15.wav,Samba,4.242,4
Albums-Latin_Jam-15.wav,Samba,4.802,1
Albums-Latin_Jam-15.wav,Samba,5.39,2
Albums-Latin_Jam-15.wav,Samba,5.958,3
Albums-Latin_Jam-15.wav,Samba,6.537,4
Albums-Latin_Jam-15.wav,Samba,7.106,1
Albums-Latin_Jam-15.wav,Samba,7.66,2
Albums-Latin_Jam-15.wav,Samba,8.231,3
Albums-Latin_Jam-15.wav,Samba,8.845,4
Albums-Latin_Jam-15.wav,Samba,9.447,1
Albums-Latin_Jam-15.wav,Samba,10.03,2
Albums-Latin_Jam-15.wav,Samba,10.61,3
Albums-Latin_Jam-15.wav,Samba,11.19,4
Albums-Latin_Jam-15.wav,Samba,11.77,1
Albums-Latin_Jam-15.wav,Samba,12.348,2
Albums-Latin_Jam-15.wav,Samba,12.922,3
Albums-Latin_Jam-15.wav,Samba,13.5,4
Albums-Latin_Jam-15.wav,Samba,14.08,1
Albums-Latin_Jam-15.wav,Samba,14.66,2
Albums-Latin_Jam-15.wav,Samba,15.24,3
Albums-Latin_Jam-15.wav,Samba,15.818,4
Albums-Latin_Jam-15.wav,Samba,16.392,1
Albums-Latin_Jam-15.wav,Samba,16.97,2
Albums-Latin_Jam-15.wav,Samba,17.55,3
Albums-Latin_Jam-15.wav,Samba,18.128,4
Albums-Latin_Jam-15.wav,Samba,18.703,1
Albums-Latin_Jam-15.wav,Samba,19.288,2
Albums-Latin_Jam-15.wav,Samba,19.868,3
Albums-Latin_Jam-15.wav,Samba,20.442,4
Albums-Latin_Jam-15.wav,Samba,21.02,1
Albums-Latin_Jam-15.wav,Samba,21.6,2
Albums-Latin_Jam-15.wav,Samba,22.18,3
Albums-Latin_Jam-15.wav,Samba,22.76,4
Albums-Latin_Jam-15.wav,Samba,23.338,1
Albums-Latin_Jam-15.wav,Samba,23.912,2
Albums-Latin_Jam-15.wav,Samba,24.49,3
Albums-Latin_Jam-15.wav,Samba,25.07,4
Albums-Latin_Jam-15.wav,Samba,25.65,1
Albums-Latin_Jam-15.wav,Samba,26.23,2
Albums-Latin_Jam-15.wav,Samba,26.808,3
Albums-Latin_Jam-15.wav,Samba,27.382,4
Albums-Latin_Jam-15.wav,Samba,27.96,1
Albums-Latin_Jam-15.wav,Samba,28.54,2
Albums-Latin_Jam-15.wav,Samba,29.12,3
Albums-Latin_Jam-15.wav,Samba,29.7,4
