file,style,beat_time,beat_id
Albums-Latin_Jam5-12.wav,Rumba-International,0.05,1
Albums-Latin_Jam5-12.wav,Rumba-International,0.63,2
Albums-Latin_Jam5-12.wav,Rumba-International,1.2,3
Albums-Latin_Jam5-12.wav,Rumba-International,1.79,4
Albums-Latin_Jam5-12.wav,Rumba-International,2.36,1
Albums-Latin_Jam5-12.wav,Rumba-International,2.93,2
Albums-Latin_Jam5-12.wav,Rumba-International,3.5,3
Albums-Latin_Jam5-12.wav,Rumba-International,4.09,4
Albums-Latin_Jam5-12.wav,Rumba-International,4.68,1
Albums-Latin_Jam5-12.wav,Rumba-International,5.25,2
Albums-Latin_Jam5-12.wav,Rumba-International,5.84,3
Albums-Latin_Jam5-12.wav,Rumba-International,6.41,4
Albums-Latin_Jam5-12.wav,Rumba-International,6.99,1
Albums-Latin_Jam5-12.wav,Rumba-International,7.56,2
Albums-Latin_Jam5-12.wav,Rumba-International,8.14,3
Albums-Latin_Jam5-12.wav,Rumba-International,8.72,4
Albums-Latin_Jam5-12.wav,Rumba-International,9.3,1
Albums-Latin_Jam5-12.wav,Rumba-International,9.86,2
Albums-Latin_Jam5-12.wav,Rumba-International,10.45,3
Albums-Latin_Jam5-12.wav,Rumba-International,11.03,4
Albums-Latin_Jam5-12.wav,Rumba-International,11.62,1
Albums-Latin_Jam5-12.wav,Rumba-International,12.19,2
Albums-Latin_Jam5-12.wav,Rumba-International,12.77,3
Albums-Latin_Jam5-12.wav,Rumba-International,13.34,4
Albums-Latin_Jam5-12.wav,Rumba-International,13.93,1
Albums-Latin_Jam5-12.wav,Rumba-International,14.51,2
Albums-Latin_Jam5-12.wav,Rumba-International,15.09,3
Albums-Latin_Jam5-12.wav,Rumba-International,15.66,4
Albums-Latin_Jam5-12.wav,Rumba-International,16.24,1
Albums-Latin_Jam5-12.wav,Rumba-International,16.8,2
Albums-Latin_Jam5-12.wav,Rumba-International,17.4,3
Albums-Latin_Jam5-12.wav,Rumba-International,17.97,4
Albums-Latin_Jam5-12.wav,Rumba-International,18.55,1
Albums-Latin_Jam5-12.wav,Rumba-International,19.14,2
Albums-Latin_Jam5-12.wav,Rumba-International,19.7,3
Albums-Latin_Jam5-12.wav,Rumba-International,20.28,4
Albums-Latin_Jam5-12.wav,Rumba-International,20.86,1
Albums-Latin_Jam5-12.wav,Rumba-International,21.43,2
Albums-Latin_Jam5-12.wav,Rumba-International,22.0,3
Albums-Latin_Jam5-12.wav,Rumba-International,22.59,4
Albums-Latin_Jam5-12.wav,Rumba-International,23.18,1
Albums-Latin_Jam5-12.wav,Rumba-International,23.76,2
Albums-Latin_Jam5-12.wav,Rumba-International,24.34,3
Albums-Latin_Jam5-12.wav,Rumba-International,24.91,4
Albums-Latin_Jam5-12.wav,Rumba-International,25.49,1
Albums-Latin_Jam5-12.wav,Rumba-International,26.07,2
Albums-Latin_Jam5-12.wav,Rumba-International,26.64,3
Albums-Latin_Jam5-12.wav,Rumba-International,27.23,4
Albums-Latin_Jam5-12.wav,Rumba-International,27.81,1
Albums-Latin_Jam5-12.wav,Rumba-International,28.37,2
Albums-Latin_Jam5-12.wav,Rumba-International,28.95,3
Albums-Latin_Jam5-12.wav,Rumba-International,29.54,4
