file,style,beat_time,beat_id
Albums-Latino_Latino-10.wav,Rumba-American,0.43,1
Albums-Latino_Latino-10.wav,Rumba-American,0.99,2
Albums-Latino_Latino-10.wav,Rumba-American,1.54,3
Albums-Latino_Latino-10.wav,Rumba-American,2.08,4
Albums-Latino_Latino-10.wav,Rumba-American,2.682,1
Albums-Latino_Latino-10.wav,Rumba-American,3.265,2
Albums-Latino_Latino-10.wav,Rumba-American,3.828,3
Albums-Latino_Latino-10.wav,Rumba-American,4.42,4
Albums-Latino_Latino-10.wav,Rumba-American,5.007,1
Albums-Latino_Latino-10.wav,Rumba-American,5.52,2
Albums-Latino_Latino-10.wav,Rumba-American,6.04,3
Albums-Latino_Latino-10.wav,Rumba-American,6.57,4
Albums-Latino_Latino-10.wav,Rumba-American,7.11,1
Albums-Latino_Latino-10.wav,Rumba-American,7.65,2
Albums-Latino_Latino-10.wav,Rumba-American,8.19,3
Albums-Latino_Latino-10.wav,Rumba-American,8.71,4
Albums-Latino_Latino-10.wav,Rumba-American,9.24,1
Albums-Latino_Latino-10.wav,Rumba-American,9.76,2
Albums-Latino_Latino-10.wav,Rumba-American,10.3,3
Albums-Latino_Latino-10.wav,Rumba-American,10.81,4
Albums-Latino_Latino-10.wav,Rumba-American,11.32,1
Albums-Latino_Latino-10.wav,Rumba-American,11.87,2
Albums-Latino_Latino-10.wav,Rumba-American,12.4,3
Albums-Latino_Latino-10.wav,Rumba-American,12.93,4
Albums-Latino_Latino-10.wav,Rumba-American,13.47,1
Albums-Latino_Latino-10.wav,Rumba-American,13.99,2
Albums-Latino_Latino-10.wav,Rumba-American,14.53,3
Albums-Latino_Latino-10.wav,Rumba-American,15.05,4
Albums-Latino_Latino-10.wav,Rumba-American,15.56,1
Albums-Latino_Latino-10.wav,Rumba-American,16.1,2
Albums-Latino_Latino-10.wav,Rumba-American,16.63,3
Albums-Latino_Latino-10.wav,Rumba-American,17.16,4
Albums-Latino_Latino-10.wav,Rumba-American,17.7,1
Albums-Latino_Latino-10.wav,Rumba-American,18.22,2
Albums-Latino_Latino-10.wav,Rumba-American,18.77,3
Albums-Latino_Latino-10.wav,Rumba-American,19.28,4
Albums-Latino_Latino-10.wav,Rumba-American,19.82,1
Albums-Latino_Latino-10.wav,Rumba-American,20.37,2
Albums-Latino_Latino-10.wav,Rumba-American,20.89,3
Albums-Latino_Latino-10.wav,Rumba-American,21.42,4
Albums-Latino_Latino-10.wav,Rumba-American,21.96,1
Albums-Latino_Latino-10.wav,Rumba-American,22.49,2
Albums-Latino_Latino-10.wav,Rumba-American,23.02,3
Albums-Latino_Latino-10.wav,Rumba-American,23.55,4
Albums-Latino_Latino-10.wav,Rumba-American,24.09,1
Albums-Latino_Latino-10.wav,Rumba-American,24.64,2
Albums-Latino_Latino-10.wav,Rumba-American,25.208,3
Albums-Latino_Latino-10.wav,Rumba-American,25.751,4
Albums-Latino_Latino-10.wav,Rumba-American,26.294,1
Albums-Latino_Latino-10.wav,Rumba-American,26.825,2
Albums-Latino_Latino-10.wav,Rumba-American,27.35,3
Albums-Latino_Latino-10.wav,Rumba-American,27.89,4
Albums-Latino_Latino-10.wav,Rumba-American,28.41,1
Albums-Latino_Latino-10.wav,Rumba-American,28.96,2
Albums-Latino_Latino-10.wav,Rumba-American,29.48,3
