file,style,beat_time,beat_id
Albums-Macumba-16.wav,Jive,0.46,1
Albums-Macumba-16.wav,Jive,0.817,2
Albums-Macumba-16.wav,Jive,1.173,3
Albums-Macumba-16.wav,Jive,1.527,4
Albums-Macumba-16.wav,Jive,1.883,1
Albums-Macumba-16.wav,Jive,2.237,2
Albums-Macumba-16.wav,Jive,2.597,3
Albums-Macumba-16.wav,Jive,2.953,4
Albums-Macumba-16.wav,Jive,3.317,1
Albums-Macumba-16.wav,Jive,3.677,2
Albums-Macumba-16.wav,Jive,4.037,3
Albums-Macumba-16.wav,Jive,4.39,4
Albums-Macumba-16.wav,Jive,4.743,1
Albums-Macumba-16.wav,Jive,5.1,2
Albums-Macumba-16.wav,Jive,5.46,3
Albums-Macumba-16.wav,Jive,5.817,4
Albums-Macumba-16.wav,Jive,6.173,1
Albums-Macumba-16.wav,Jive,6.53,2
Albums-Macumba-16.wav,Jive,6.89,3
Albums-Macumba-16.wav,Jive,7.247,4
Albums-Macumba-16.wav,Jive,7.6,1
Albums-Macumba-16.wav,Jive,7.957,2
Albums-Macumba-16.wav,Jive,8.313,3
Albums-Macumba-16.wav,Jive,8.67,4
Albums-Macumba-16.wav,Jive,9.027,1
Albums-Macumba-16.wav,Jive,9.39,2
Albums-Macumba-16.wav,Jive,9.753,3
Albums-Macumba-16.wav,Jive,10.107,4
Albums-Macumba-16.wav,Jive,10.457,1
Albums-Macumba-16.wav,Jive,10.803,2
Albums-Macumba-16.wav,Jive,11.167,3
Albums-Macumba-16.wav,Jive,11.523,4
Albums-Macumba-16.wav,Jive,11.883,1
Albums-Macumba-16.wav,Jive,12.227,2
Albums-Macumba-16.wav,Jive,12.59,3
Albums-Macumba-16.wav,Jive,12.95,4
Albums-Macumba-16.wav,Jive,13.317,1
Albums-Macumba-16.wav,Jive,13.67,2
Albums-Macumba-16.wav,Jive,14.03,3
Albums-Macumba-16.wav,Jive,14.387,4
Albums-Macumba-16.wav,Jive,14.74,1
Albums-Macumba-16.wav,Jive,15.097,2
Albums-Macumba-16.wav,Jive,15.453,3
Albums-Macumba-16.wav,Jive,15.813,4
Albums-Macumba-16.wav,Jive,16.17,1
Albums-Macumba-16.wav,Jive,16.527,2
Albums-Macumba-16.wav,Jive,16.883,3
Albums-Macumba-16.wav,Jive,17.24,4
Albums-Macumba-16.wav,Jive,17.603,1
Albums-Macumba-16.wav,Jive,17.97,2
Albums-Macumba-16.wav,Jive,18.33,3
Albums-Macumba-16.wav,Jive,18.683,4
Albums-Macumba-16.wav,Jive,19.033,1
Albums-Macumba-16.wav,Jive,19.383,2
Albums-Macumba-16.wav,Jive,19.74,3
Albums-Macumba-16.wav,Jive,20.093,4
Albums-Macumba-16.wav,Jive,20.457,1
Albums-Macumba-16.wav,Jive,20.817,2
Albums-Macumba-16.wav,Jive,21.177,3
Albums-Macumba-16.wav,Jive,21.53,4
Albums-Macumba-16.wav,Jive,21.883,1
Albums-Macumba-16.wav,Jive,22.233,2
Albums-Macumba-16.wav,Jive,22.597,3
Albums-Macumba-16.wav,Jive,22.953,4
Albums-Macumba-16.wav,Jive,23.317,1
Albums-Macumba-16.wav,Jive,23.677,2
Albums-Macumba-16.wav,Jive,24.04,3
Albums-Macumba-16.wav,Jive,24.397,4
Albums-Macumba-16.wav,Jive,24.747,1
Albums-Macumba-16.wav,Jive,25.097,2
Albums-Macumba-16.wav,Jive,25.453,3
Albums-Macumba-16.wav,Jive,25.81,4
Albums-Macumba-16.wav,Jive,26.17,1
Albums-Macumba-16.wav,Jive,26.53,2
Albums-Macumba-16.wav,Jive,26.89,3
Albums-Macumba-16.wav,Jive,27.247,4
Albums-Macumba-16.wav,Jive,27.6,1
Albums-Macumba-16.wav,Jive,27.95,2
Albums-Macumba-16.wav,Jive,28.31,3
Albums-Macumba-16.wav,Jive,28.673,4
Albums-Macumba-16.wav,Jive,29.037,1
Albums-Macumba-16.wav,Jive,29.393,2
Albums-Macumba-16.wav,Jive,29.75,3
