file,style,beat_time,beat_id
Albums-Mambo_Kings-10.wav,ChaChaCha,0.72,1
Albums-Mambo_Kings-10.wav,ChaChaCha,1.33,2
Albums-Mambo_Kings-10.wav,ChaChaCha,1.92,3
Albums-Mambo_Kings-10.wav,ChaChaCha,2.51,4
Albums-Mambo_Kings-10.wav,ChaChaCha,3.12,1
Albums-Mambo_Kings-10.wav,ChaChaCha,3.7,2
Albums-Mambo_Kings-10.wav,ChaChaCha,4.24,3
Albums-Mambo_Kings-10.wav,ChaChaCha,4.88,4
Albums-Mambo_Kings-10.wav,ChaChaCha,5.48,1
Albums-Mambo_Kings-10.wav,ChaChaCha,6.07,2
Albums-Mambo_Kings-10.wav,ChaChaCha,6.65,3
Albums-Mambo_Kings-10.wav,ChaChaCha,7.23,4
Albums-Mambo_Kings-10.wav,ChaChaCha,7.83,1
Albums-Mambo_Kings-10.wav,ChaChaCha,8.41,2
Albums-Mambo_Kings-10.wav,ChaChaCha,9.0,3
Albums-Mambo_Kings-10.wav,ChaChaCha,9.56,4
Albums-Mambo_Kings-10.wav,ChaChaCha,10.16,1
Albums-Mambo_Kings-10.wav,ChaChaCha,10.75,2
Albums-Mambo_Kings-10.wav,ChaChaCha,11.33,3
Albums-Mambo_Kings-10.wav,ChaChaCha,11.91,4
Albums-Mambo_Kings-10.wav,ChaChaCha,12.49,1
Albums-Mambo_Kings-10.wav,ChaChaCha,13.08,2
Albums-Mambo_Kings-10.wav,ChaChaCha,13.62,3
Albums-Mambo_Kings-10.wav,ChaChaCha,14.21,4
Albums-Mambo_Kings-10.wav,ChaChaCha,14.78,1
Albums-Mambo_Kings-10.wav,ChaChaCha,15.36,2
Albums-Mambo_Kings-10.wav,ChaChaCha,15.95,3
Albums-Mambo_Kings-10.wav,ChaChaCha,16.52,4
Albums-Mambo_Kings-10.wav,ChaChaCha,17.1,1
Albums-Mambo_Kings-10.wav,ChaChaCha,17.68,2
Albums-Mambo_Kings-10.wav,ChaChaCha,18.26,3
Albums-Mambo_Kings-10.wav,ChaChaCha,18.83,4
Albums-Mambo_Kings-10.wav,ChaChaCha,19.43,1
Albums-Mambo_Kings-10.wav,ChaChaCha,20.01,2
Albums-Mambo_Kings-10.wav,ChaChaCha,20.61,3
Albums-Mambo_Kings-10.wav,ChaChaCha,21.18,4
Albums-Mambo_Kings-10.wav,ChaChaCha,21.8,1
Albums-Mambo_Kings-10.wav,ChaChaCha,22.37,2
Albums-Mambo_Kings-10.wav,ChaChaCha,22.97,3
Albums-Mambo_Kings-10.wav,ChaChaCha,23.54,4
Albums-Mambo_Kings-10.wav,ChaChaCha,24.12,1
Albums-Mambo_Kings-10.wav,ChaChaCha,24.69,2
Albums-Mambo_Kings-10.wav,ChaChaCha,25.29,3
Albums-Mambo_Kings-10.wav,ChaChaCha,25.87,4
Albums-Mambo_Kings-10.wav,ChaChaCha,26.46,1
Albums-Mambo_Kings-10.wav,ChaChaCha,27.04,2
Albums-Mambo_Kings-10.wav,ChaChaCha,27.63,3
Albums-Mambo_Kings-10.wav,ChaChaCha,28.21,4
Albums-Mambo_Kings-10.wav,ChaChaCha,28.79,1
Albums-Mambo_Kings-10.wav,ChaChaCha,29.38,2
Albums-Mambo_Kings-10.wav,ChaChaCha,29.95,3
