file,style,beat_time,beat_id
Albums-Pais_Tropical-11.wav,Rumba-International,0.11,1
Albums-Pais_Tropical-11.wav,Rumba-International,0.72,2
Albums-Pais_Tropical-11.wav,Rumba-International,1.32,3
Albums-Pais_Tropical-11.wav,Rumba-International,1.9,4
Albums-Pais_Tropical-11.wav,Rumba-International,2.52,1
Albums-Pais_Tropical-11.wav,Rumba-International,3.13,2
Albums-Pais_Tropical-11.wav,Rumba-International,3.73,3
Albums-Pais_Tropical-11.wav,Rumba-International,4.34,4
Albums-Pais_Tropical-11.wav,Rumba-International,4.92,1
Albums-Pais_Tropical-11.wav,Rumba-International,5.53,2
Albums-Pais_Tropical-11.wav,Rumba-International,6.13,3
Albums-Pais_Tropical-11.wav,Rumba-International,6.75,4
Albums-Pais_Tropical-11.wav,Rumba-International,7.33,1
Albums-Pais_Tropical-11.wav,Rumba-International,7.94,2
Albums-Pais_Tropical-11.wav,Rumba-International,8.53,3
Albums-Pais_Tropical-11.wav,Rumba-International,9.15,4
Albums-Pais_Tropical-11.wav,Rumba-International,9.73,1
Albums-Pais_Tropical-11.wav,Rumba-International,10.34,2
Albums-Pais_Tropical-11.wav,Rumba-International,10.91,3
Albums-Pais_Tropical-11.wav,Rumba-International,11.51,4
Albums-Pais_Tropical-11.wav,Rumba-International,12.14,1
Albums-Pais_Tropical-11.wav,Rumba-International,12.76,2
Albums-Pais_Tropical-11.wav,Rumba-International,13.33,3
Albums-Pais_Tropical-11.wav,Rumba-International,13.92,4
Albums-Pais_Tropical-11.wav,Rumba-International,14.54,1
Albums-Pais_Tropical-11.wav,Rumba-International,15.15,2
Albums-Pais_Tropical-11.wav,Rumba-International,15.73,3
Albums-Pais_Tropical-11.wav,Rumba-International,16.35,4
Albums-Pais_Tropical-11.wav,Rumba-International,16.95,1
Albums-Pais_Tropical-11.wav,Rumba-International,17.57,2
Albums-Pais_Tropical-11.wav,Rumba-International,18.13,3
Albums-Pais_Tropical-11.wav,Rumba-International,18.76,4
Albums-Pais_Tropical-11.wav,Rumba-International,19.36,1
Albums-Pais_Tropical-11.wav,Rumba-International,19.98,2
Albums-Pais_Tropical-11.wav,Rumba-International,20.57,3
Albums-Pais_Tropical-11.wav,Rumba-International,21.16,4
Albums-Pais_Tropical-11.wav,Rumba-International,21.76,1
Albums-Pais_Tropical-11.wav,Rumba-International,22.36,2
Albums-Pais_Tropical-11.wav,Rumba-International,22.98,3
Albums-Pais_Tropical-11.wav,Rumba-International,23.59,4
Albums-Pais_Tropical-11.wav,Rumba-International,24.17,1
Albums-Pais_Tropical-11.wav,Rumba-International,24.76,2
Albums-Pais_Tropical-11.wav,Rumba-International,25.41,3
Albums-Pais_Tropical-11.wav,Rumba-International,25.97,4
Albums-Pais_Tropical-11.wav,Rumba-International,26.57,1
Albums-Pais_Tropical-11.wav,Rumba-International,27.17,2
Albums-Pais_Tropical-11.wav,Rumba-International,27.76,3
Albums-Pais_Tropical-11.wav,Rumba-International,28.38,4
Albums-Pais_Tropical-11.wav,Rumba-International,28.98,1
Albums-Pais_Tropical-11.wav,Rumba-International,29.59,2
