file,style,beat_time,beat_id
Media-104804.wav,Waltz,0.08,1
Media-104804.wav,Waltz,0.78,2
Media-104804.wav,Waltz,1.41,3
Media-104804.wav,Waltz,2.06,1
Media-104804.wav,Waltz,2.7,2
Media-104804.wav,Waltz,3.38,3
Media-104804.wav,Waltz,4.14,1
Media-104804.wav,Waltz,4.85,2
Media-104804.wav,Waltz,5.5,3
Media-104804.wav,Waltz,6.19,1
Media-104804.wav,Waltz,6.88,2
Media-104804.wav,Waltz,7.59,3
Media-104804.wav,Waltz,8.27,1
Media-104804.wav,Waltz,8.95,2
Media-104804.wav,Waltz,9.65,3
Media-104804.wav,Waltz,10.35,1
Media-104804.wav,Waltz,11.07,2
Media-104804.wav,Waltz,11.77,3
Media-104804.wav,Waltz,12.44,1
Media-104804.wav,Waltz,13.13,2
Media-104804.wav,Waltz,13.83,3
Media-104804.wav,Waltz,14.55,1
Media-104804.wav,Waltz,15.23,2
Media-104804.wav,Waltz,15.88,3
Media-104804.wav,Waltz,16.63,1
Media-104804.wav,Waltz,17.32,2
Media-104804.wav,Waltz,18.02,3
Media-104804.wav,Waltz,18.68,1
Media-104804.wav,Waltz,19.4,2
Media-104804.wav,Waltz,20.07,3
Media-104804.wav,Waltz,20.75,1
Media-104804.wav,Waltz,21.41,2
Media-104804.wav,Waltz,22.15,3
Media-104804.wav,Waltz,22.82,1
Media-104804.wav,Waltz,23.48,2
Media-104804.wav,Waltz,24.17,3
Media-104804.wav,Waltz,24.88,1
Media-104804.wav,Waltz,25.53,2
Media-104804.wav,Waltz,26.24,3
Media-104804.wav,Waltz,26.91,1
Media-104804.wav,Waltz,27.59,2
Media-104804.wav,Waltz,28.28,3
Media-104804.wav,Waltz,29.01,1
Media-104804.wav,Waltz,29.71,2
