file,style,tempo_bpm
Media-105901.wav,Waltz,84.0
Albums-Step_By_Step-04.wav,Waltz,87.0
Media-104202.wav,Waltz,87.0
Media-104203.wav,Waltz,87.0
Media-105902.wav,Waltz,84.0
Media-104201.wav,Waltz,87.0
Media-104604.wav,Waltz,87.0
Albums-Step_By_Step-02.wav,Waltz,87.0
Media-104402.wav,Waltz,87.0
Media-104204.wav,Waltz,87.0
Media-104205.wav,Waltz,87.0
Albums-Step_By_Step-03.wav,Waltz,87.0
Media-104403.wav,Waltz,87.0
Media-104601.wav,Waltz,87.0
Media-104603.wav,Waltz,87.0
Media-104401.wav,Waltz,87.0
Albums-Step_By_Step-01.wav,Waltz,87.0
Albums-Commitments-11.wav,Waltz,91.0
Media-104602.wav,Waltz,87.0
Media-100601.wav,Waltz,87.0
Media-104301.wav,Waltz,84.0
Media-105802.wav,Waltz,87.0
Media-104705.wav,Waltz,81.0
Media-104704.wav,Waltz,84.0
Media-105803.wav,Waltz,87.0
Media-104302.wav,Waltz,87.0
Media-100602.wav,Waltz,87.0
Media-105801.wav,Waltz,87.0
Media-104504.wav,Waltz,87.0
Media-104303.wav,Waltz,87.0
Media-100603.wav,Waltz,87.0
Albums-Chrisanne2-01.wav,Waltz,84.0
Albums-Ballroom_Magic-18.wav,Waltz,90.0
Media-105804.wav,Waltz,87.0
Media-104501.wav,Waltz,87.0
Media-104703.wav,Waltz,87.0
Media-104702.wav,Waltz,87.0
Media-105805.wav,Waltz,87.0
Albums-Chrisanne2-02.wav,Waltz,84.0
Media-100604.wav,Waltz,87.0
Media-104502.wav,Waltz,87.0
Media-104701.wav,Waltz,84.0
Albums-Fire-13.wav,Waltz,90.0
Media-104503.wav,Waltz,87.0
Albums-Chrisanne2-03.wav,Waltz,84.0
Media-105214.wav,Waltz,88.0
Albums-Ballroom_Magic-03.wav,Waltz,90.0
Media-105002.wav,Waltz,84.0
Media-103301.wav,Waltz,84.0
Media-104903.wav,Waltz,84.0
Media-104902.wav,Waltz,84.0
Media-105003.wav,Waltz,87.0
Albums-Ballroom_Magic-02.wav,Waltz,87.0
Media-105215.wav,Waltz,112.0
Media-103302.wav,Waltz,84.0
Media-105001.wav,Waltz,84.0
Albums-Ballroom_Classics4-05.wav,Waltz,87.0
Media-104901.wav,Waltz,84.0
Albums-Ballroom_Classics4-04.wav,Waltz,87.0
Media-103303.wav,Waltz,84.0
Albums-Ballroom_Magic-01.wav,Waltz,84.0
Media-105212.wav,Waltz,94.0
Albums-Ballroom_Magic-05.wav,Waltz,84.0
Media-105004.wav,Waltz,84.0
Media-104905.wav,Waltz,84.0
Media-104904.wav,Waltz,84.0
Albums-Ballroom_Classics4-01.wav,Waltz,87.0
Media-105005.wav,Waltz,87.0
Albums-Ballroom_Magic-04.wav,Waltz,87.0
Media-105213.wav,Waltz,60.0
Media-105211.wav,Waltz,96.0
Media-105007.wav,Waltz,87.0
Albums-Ballroom_Classics4-03.wav,Waltz,87.0
Albums-Ballroom_Classics4-02.wav,Waltz,87.0
Media-105006.wav,Waltz,84.0
Media-105210.wav,Waltz,80.0
Media-105101.wav,Waltz,87.0
Media-105303.wav,Waltz,87.0
Media-105302.wav,Waltz,87.0
Media-105316.wav,Waltz,84.0
Albums-Chrisanne1-01.wav,Waltz,84.0
Media-105504.wav,Waltz,84.0
Albums-Secret_Garden-01.wav,Waltz,84.0
Media-104801.wav,Waltz,87.0
Media-104803.wav,Waltz,87.0
Albums-Chrisanne1-03.wav,Waltz,84.0
Media-105704.wav,Waltz,84.0
Media-105102.wav,Waltz,84.0
Media-105301.wav,Waltz,87.0
Media-105103.wav,Waltz,84.0
Albums-Chrisanne1-02.wav,Waltz,84.0
Media-104802.wav,Waltz,87.0
